p1_rank,p2_rank,p1_win_rate,p2_win_rate,court_type,weather,match_duration_minutes,winner,p1_id,p2_id
194,133,0.23,0.43,Indoor,N/A,45,Player 2,P1012,P1015
99,112,0.73,0.61,Outdoor,Windy,52,Player 1,P1002,P1020
119,174,0.61,0.78,Indoor,N/A,63,Player 1,P1020,P1018
132,177,0.19,0.4,Outdoor,Windy,54,Player 2,P1009,P1016
67,92,0.48,0.73,Outdoor,Sunny,53,Player 2,P1005,P1002
28,69,0.22,0.49,Outdoor,Cloudy,56,Player 2,P1013,P1007
125,92,0.66,0.73,Outdoor,Windy,45,Player 2,P1010,P1002
181,141,0.78,0.38,Outdoor,Cloudy,57,Player 2,P1018,P1008
181,61,0.78,0.74,Indoor,N/A,26,Player 1,P1018,P1014
99,82,0.73,0.34,Indoor,N/A,51,Player 2,P1002,P1017
169,118,0.74,0.66,Outdoor,Sunny,53,Player 2,P1001,P1010
115,177,0.36,0.4,Outdoor,Windy,44,Player 1,P1019,P1016
140,61,0.43,0.74,Outdoor,Windy,39,Player 2,P1015,P1014
67,82,0.48,0.34,Outdoor,Windy,52,Player 2,P1005,P1017
89,61,0.34,0.74,Outdoor,Sunny,51,Player 2,P1017,P1014
193,141,0.3,0.38,Indoor,N/A,49,Player 1,P1004,P1008
193,162,0.3,0.74,Indoor,N/A,61,Player 2,P1004,P1001
119,21,0.61,0.22,Outdoor,Sunny,49,Player 2,P1020,P1013
47,108,0.58,0.36,Indoor,N/A,60,Player 1,P1006,P1019
140,92,0.43,0.73,Indoor,N/A,46,Player 2,P1015,P1002
115,60,0.36,0.48,Indoor,N/A,58,Player 2,P1019,P1005
47,118,0.58,0.66,Outdoor,Windy,47,Player 2,P1006,P1010
28,186,0.22,0.3,Indoor,N/A,42,Player 1,P1013,P1004
98,82,0.7,0.34,Indoor,N/A,63,Player 1,P1011,P1017
184,186,0.4,0.3,Outdoor,Sunny,66,Player 2,P1016,P1004
115,186,0.36,0.3,Indoor,N/A,46,Player 1,P1019,P1004
148,61,0.38,0.74,Outdoor,Cloudy,43,Player 2,P1008,P1014
137,61,0.67,0.74,Outdoor,Sunny,58,Player 2,P1003,P1014
184,61,0.4,0.74,Indoor,N/A,44,Player 2,P1016,P1014
47,130,0.58,0.67,Outdoor,Cloudy,48,Player 1,P1006,P1003
89,186,0.34,0.3,Outdoor,Windy,41,Player 1,P1017,P1004
132,69,0.19,0.49,Outdoor,Sunny,40,Player 2,P1009,P1007
181,82,0.78,0.34,Outdoor,Sunny,33,Player 2,P1018,P1017
132,177,0.19,0.4,Outdoor,Sunny,49,Player 2,P1009,P1016
89,133,0.34,0.43,Indoor,N/A,49,Player 1,P1017,P1015
119,133,0.61,0.43,Indoor,N/A,53,Player 2,P1020,P1015
137,40,0.67,0.58,Outdoor,Windy,36,Player 2,P1003,P1006
140,21,0.43,0.22,Indoor,N/A,44,Player 1,P1015,P1013
89,21,0.34,0.22,Indoor,N/A,54,Player 2,P1017,P1013
132,40,0.19,0.58,Outdoor,Cloudy,55,Player 2,P1009,P1006
148,162,0.38,0.74,Indoor,N/A,66,Player 2,P1008,P1001
67,133,0.48,0.43,Indoor,N/A,50,Player 2,P1005,P1015
99,187,0.73,0.23,Indoor,N/A,34,Player 1,P1002,P1012
115,91,0.36,0.7,Indoor,N/A,56,Player 1,P1019,P1011
193,118,0.3,0.66,Indoor,N/A,40,Player 2,P1004,P1010
169,130,0.74,0.67,Outdoor,Cloudy,43,Player 1,P1001,P1003
99,177,0.73,0.4,Outdoor,Windy,50,Player 1,P1002,P1016
115,82,0.36,0.34,Indoor,N/A,63,Player 2,P1019,P1017
181,125,0.78,0.19,Outdoor,Windy,53,Player 1,P1018,P1009
76,40,0.49,0.58,Indoor,N/A,65,Player 2,P1007,P1006
137,125,0.67,0.19,Outdoor,Sunny,65,Player 2,P1003,P1009
28,82,0.22,0.34,Outdoor,Cloudy,61,Player 1,P1013,P1017
125,130,0.66,0.67,Indoor,N/A,64,Player 1,P1010,P1003
67,177,0.48,0.4,Indoor,N/A,38,Player 1,P1005,P1016
67,40,0.48,0.58,Outdoor,Sunny,49,Player 1,P1005,P1006
47,108,0.58,0.36,Indoor,N/A,40,Player 1,P1006,P1019
137,186,0.67,0.3,Indoor,N/A,52,Player 2,P1003,P1004
47,187,0.58,0.23,Indoor,N/A,40,Player 1,P1006,P1012
119,91,0.61,0.7,Outdoor,Sunny,55,Player 1,P1020,P1011
76,177,0.49,0.4,Outdoor,Sunny,51,Player 1,P1007,P1016
67,108,0.48,0.36,Outdoor,Sunny,42,Player 1,P1005,P1019
68,112,0.74,0.61,Indoor,N/A,48,Player 1,P1014,P1020
68,60,0.74,0.48,Indoor,N/A,50,Player 2,P1014,P1005
148,177,0.38,0.4,Indoor,N/A,49,Player 2,P1008,P1016
125,130,0.66,0.67,Indoor,N/A,73,Player 1,P1010,P1003
99,108,0.73,0.36,Indoor,N/A,49,Player 2,P1002,P1019
99,40,0.73,0.58,Outdoor,Cloudy,51,Player 2,P1002,P1006
169,69,0.74,0.49,Outdoor,Cloudy,31,Player 2,P1001,P1007
125,162,0.66,0.74,Outdoor,Cloudy,54,Player 1,P1010,P1001
76,91,0.49,0.7,Indoor,N/A,53,Player 1,P1007,P1011
67,92,0.48,0.73,Outdoor,Sunny,55,Player 1,P1005,P1002
47,60,0.58,0.48,Outdoor,Sunny,57,Player 2,P1006,P1005
28,112,0.22,0.61,Outdoor,Sunny,38,Player 2,P1013,P1020
181,162,0.78,0.74,Indoor,N/A,60,Player 1,P1018,P1001
115,125,0.36,0.19,Indoor,N/A,68,Player 1,P1019,P1009
28,177,0.22,0.4,Outdoor,Windy,25,Player 1,P1013,P1016
132,82,0.19,0.34,Outdoor,Sunny,58,Player 1,P1009,P1017
98,141,0.7,0.38,Outdoor,Cloudy,44,Player 1,P1011,P1008
140,21,0.43,0.22,Outdoor,Sunny,38,Player 2,P1015,P1013
140,69,0.43,0.49,Outdoor,Windy,45,Player 2,P1015,P1007
47,130,0.58,0.67,Outdoor,Sunny,41,Player 1,P1006,P1003
148,130,0.38,0.67,Indoor,N/A,59,Player 1,P1008,P1003
169,40,0.74,0.58,Indoor,N/A,41,Player 2,P1001,P1006
89,162,0.34,0.74,Indoor,N/A,39,Player 1,P1017,P1001
67,177,0.48,0.4,Outdoor,Windy,38,Player 1,P1005,P1016
28,177,0.22,0.4,Outdoor,Windy,26,Player 1,P1013,P1016
